2021-09-18 09:58:12.333 - INFO  [main] (SpringApplication.java:652) : The following profiles are active: local,native
2021-09-18 09:58:13.314 - INFO  [main] (RepositoryConfigurationDelegate.java:244) : Multiple Spring Data modules found, entering strict repository configuration mode!
2021-09-18 09:58:13.316 - INFO  [main] (RepositoryConfigurationDelegate.java:126) : Bootstrapping Spring Data repositories in DEFAULT mode.
2021-09-18 09:58:13.360 - INFO  [main] (RepositoryConfigurationDelegate.java:182) : Finished Spring Data repository scanning in 36ms. Found 0 repository interfaces.
2021-09-18 09:58:13.371 - INFO  [main] (RepositoryConfigurationDelegate.java:244) : Multiple Spring Data modules found, entering strict repository configuration mode!
2021-09-18 09:58:13.372 - INFO  [main] (RepositoryConfigurationDelegate.java:126) : Bootstrapping Spring Data repositories in DEFAULT mode.
2021-09-18 09:58:13.401 - INFO  [main] (RepositoryConfigurationDelegate.java:182) : Finished Spring Data repository scanning in 21ms. Found 0 repository interfaces.
2021-09-18 09:58:13.475 - WARN  [main] (EndpointId.java:131) : Endpoint ID 'service-registry' contains invalid characters, please migrate to a valid format.
2021-09-18 09:58:13.758 - INFO  [main] (GenericScope.java:295) : BeanFactory id=3297597b-2a42-353e-8d2a-06792ec813af
2021-09-18 09:58:13.848 - INFO  [main] (PostProcessorRegistrationDelegate.java:330) : Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration$$EnhancerBySpringCGLIB$$bb2a390] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2021-09-18 09:58:14.142 - INFO  [main] (TomcatWebServer.java:90) : Tomcat initialized with port(s): 9410 (http)
2021-09-18 09:58:14.153 - INFO  [main] (DirectJDKLog.java:180) : Initializing ProtocolHandler ["http-nio-9410"]
2021-09-18 09:58:14.163 - INFO  [main] (DirectJDKLog.java:180) : Starting service [Tomcat]
2021-09-18 09:58:14.164 - INFO  [main] (DirectJDKLog.java:180) : Starting Servlet Engine: Apache Tomcat/8.5.31
