2021-09-18 09:58:37.412 - INFO  [main] (SpringApplication.java:652) : The following profiles are active: local,native
2021-09-18 09:58:38.468 - INFO  [main] (RepositoryConfigurationDelegate.java:244) : Multiple Spring Data modules found, entering strict repository configuration mode!
2021-09-18 09:58:38.470 - INFO  [main] (RepositoryConfigurationDelegate.java:126) : Bootstrapping Spring Data repositories in DEFAULT mode.
2021-09-18 09:58:38.506 - INFO  [main] (RepositoryConfigurationDelegate.java:182) : Finished Spring Data repository scanning in 30ms. Found 0 repository interfaces.
2021-09-18 09:58:38.518 - INFO  [main] (RepositoryConfigurationDelegate.java:244) : Multiple Spring Data modules found, entering strict repository configuration mode!
2021-09-18 09:58:38.520 - INFO  [main] (RepositoryConfigurationDelegate.java:126) : Bootstrapping Spring Data repositories in DEFAULT mode.
2021-09-18 09:58:38.548 - INFO  [main] (RepositoryConfigurationDelegate.java:182) : Finished Spring Data repository scanning in 22ms. Found 0 repository interfaces.
2021-09-18 09:58:38.621 - WARN  [main] (EndpointId.java:131) : Endpoint ID 'service-registry' contains invalid characters, please migrate to a valid format.
2021-09-18 09:58:38.713 - WARN  [main] (Logger.java:44) : No MyBatis mapper was found in '[com.*.mapper]' package. Please check your configuration.
2021-09-18 09:58:38.879 - INFO  [main] (GenericScope.java:295) : BeanFactory id=9a67e07f-eb56-3b5a-81e9-f6b140c5f98c
2021-09-18 09:58:38.964 - INFO  [main] (PostProcessorRegistrationDelegate.java:330) : Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration$$EnhancerBySpringCGLIB$$ed4303b] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2021-09-18 09:58:39.341 - INFO  [main] (TomcatWebServer.java:90) : Tomcat initialized with port(s): 9420 (http)
2021-09-18 09:58:39.359 - INFO  [main] (DirectJDKLog.java:180) : Initializing ProtocolHandler ["http-nio-9420"]
2021-09-18 09:58:39.373 - INFO  [main] (DirectJDKLog.java:180) : Starting service [Tomcat]
2021-09-18 09:58:39.373 - INFO  [main] (DirectJDKLog.java:180) : Starting Servlet Engine: Apache Tomcat/8.5.31
2021-09-18 09:58:39.629 - INFO  [localhost-startStop-1] (DirectJDKLog.java:180) : Initializing Spring embedded WebApplicationContext
